iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
APC,small_airport,Napa County Airport,38.2132,-122.280998,35,California,CA
ILM,medium_airport,Wilmington International Airport,34.270599365234375,-77.90260314941406,32,North Carolina,NC
OPF,medium_airport,Miami-Opa Locka Executive Airport,25.907,-80.278397,8,Florida,FL
JAN,medium_airport,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897,346,Mississippi,MS
MOB,medium_airport,Mobile Regional Airport,30.6912,-88.242798,219,Alabama,AL
SAC,medium_airport,Sacramento Executive Airport,38.5125007629,-121.492996216,24,California,CA
PAO,small_airport,Palo Alto Airport of Santa Clara County,37.461101532,-122.114997864,4,California,CA
BTR,medium_airport,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70,Louisiana,LA
BZN,medium_airport,Gallatin Field,45.77750015,-111.1529999,4473,Montana,MT
MLB,medium_airport,Melbourne Orlando International Airport,28.1028,-80.645302,33,Florida,FL
AVP,medium_airport,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,962,Pennsylvania,PA
XNA,medium_airport,Northwest Arkansas National Airport,36.281898,-94.306801,1287,Arkansas,AR
UST,medium_airport,Northeast Florida Regional Airport,29.9592,-81.339798,10,Florida,FL
CCR,small_airport,Buchanan Field,37.9897003174,-122.056999207,26,California,CA
CRP,medium_airport,Corpus Christi International Airport,27.770399,-97.501198,44,Texas,TX
MSO,medium_airport,Missoula International Airport,46.91630173,-114.0910034,3206,Montana,MT
RST,medium_airport,Rochester International Airport,43.908298,-92.5,1317,Minnesota,MN
MKC,medium_airport,Charles B. Wheeler Downtown Airport,39.123199462890625,-94.5927963256836,759,Missouri,MO
ADS,small_airport,Addison Airport,32.9686012268,-96.8364028931,644,Texas,TX
LAN,medium_airport,Capital City Airport,42.77870178222656,-84.58740234375,861,Michigan,MI
ACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,Massachusetts,MA
PRC,medium_airport,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,5045,Arizona,AZ
GJT,medium_airport,Grand Junction Regional Airport,39.126663,-108.529387,4858,Colorado,CO
HSH,small_airport,Henderson Executive Airport,35.9728012085,-115.134002686,2492,Nevada,NV
SQL,small_airport,San Carlos Airport,37.511901855469,-122.25,5,California,CA
BIS,medium_airport,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,1661,North Dakota,ND
CRW,medium_airport,Yeager Airport,38.3731,-81.593201,981,West Virginia,WV
LUK,medium_airport,Cincinnati Municipal Airport Lunken Field,39.10329819,-84.41860199,483,Ohio,OH
MVY,small_airport,Martha's Vineyard Airport,41.3931007385,-70.6143035889,67,Massachusetts,MA
LVK,small_airport,Livermore Municipal Airport,37.6934013367,-121.819999695,400,California,CA
WVI,small_airport,Watsonville Municipal Airport,36.9356994629,-121.790000916,163,California,CA
FLG,medium_airport,Flagstaff Pulliam International Airport,35.1385,-111.670998,7014,Arizona,AZ
FNT,medium_airport,Bishop International Airport,42.96540069580078,-83.74359893798828,782,Michigan,MI
GCN,medium_airport,Grand Canyon National Park Airport,35.9524,-112.147003,6609,Arizona,AZ
HHH,small_airport,Hilton Head Airport,32.2244,-80.697502,19,South Carolina,SC
PSM,medium_airport,Portsmouth International at Pease Airport,43.0778999329,-70.8233032227,100,New Hampshire,NH
VRB,medium_airport,Vero Beach Regional Airport,27.6556,-80.417901,24,Florida,FL
FTW,medium_airport,Fort Worth Meacham International Airport,32.819801,-97.362396,710,Texas,TX
PHF,medium_airport,Newport News Williamsburg International Airport,37.131901,-76.492996,42,Virginia,VA
AZA,medium_airport,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,1382,Arizona,AZ
PRB,medium_airport,Paso Robles Municipal Airport,35.67290115,-120.6269989,840,California,CA
HWD,small_airport,Hayward Executive Airport,37.659198761,-122.122001648,52,California,CA
GTF,medium_airport,Great Falls International Airport,47.48199844,-111.3710022,3680,Montana,MT
AZO,medium_airport,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874,Michigan,MI
YUM,medium_airport,Yuma International Airport / Marine Corps Air Station Yuma,32.656601,-114.606003,213,Arizona,AZ
AVX,small_airport,Catalina Airport,33.4049,-118.416,1602,California,CA
AGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,Georgia,GA
TRI,medium_airport,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,1519,Tennessee,TN
MFR,medium_airport,Rogue Valley International Medford Airport,42.37419891357422,-122.87300109863281,1335,Oregon,OR
TOL,medium_airport,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,683,Ohio,OH
SGU,medium_airport,St George Regional Airport,37.036389,-113.510306,2941,Utah,UT
EGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,6548,Colorado,CO
ITH,medium_airport,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,1099,New York,NY
PUB,medium_airport,Pueblo Memorial Airport,38.289101,-104.497002,4726,Colorado,CO
EVV,medium_airport,Evansville Regional Airport,38.0369987488,-87.5324020386,418,Indiana,IN
GPT,medium_airport,Gulfport Biloxi International Airport,30.407301,-89.070099,28,Mississippi,MS
MGM,medium_airport,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,221,Alabama,AL
SHV,medium_airport,Shreveport Regional Airport,32.446602,-93.8256,258,Louisiana,LA
TVC,medium_airport,Cherry Capital Airport,44.74140167236328,-85.58219909667969,624,Michigan,MI
BKL,medium_airport,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,583,Ohio,OH
ATW,small_airport,Appleton International Airport,44.258099,-88.519096,918,Wisconsin,WI
GON,medium_airport,Groton New London Airport,41.330101,-72.045097,9,Connecticut,CT
TVL,medium_airport,Lake Tahoe Airport,38.89390182495117,-119.99500274658203,6264,California,CA
TMB,medium_airport,Miami Executive Airport,25.6479,-80.4328,8,Florida,FL
DVT,small_airport,Phoenix Deer Valley Airport,33.6883010864,-112.083000183,1478,Arizona,AZ
CPR,medium_airport,Casper-Natrona County International Airport,42.908001,-106.463997,5350,Wyoming,WY
CLL,medium_airport,Easterwood Field,30.58860016,-96.36380005,320,Texas,TX
JNU,medium_airport,Juneau International Airport,58.35499954223633,-134.5760040283203,21,Alaska,AK
PIA,medium_airport,General Wayne A. Downing Peoria International Airport,40.6642,-89.693298,660,Illinois,IL
CMI,medium_airport,University of Illinois Willard Airport,40.039819,-88.276249,755,Illinois,IL
TTN,medium_airport,Trenton Mercer Airport,40.27669906616211,-74.8134994506836,213,New Jersey,NJ
FRG,medium_airport,Republic Airport,40.7288017273,-73.4133987427,82,New York,NY
PGA,medium_airport,Page Municipal Airport,36.92610168,-111.447998,4316,Arizona,AZ
DWH,small_airport,David Wayne Hooks Memorial Airport,30.0618000031,-95.55280303960001,152,Texas,TX
ACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75,New Jersey,NJ
BMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,Illinois,IL
ELM,medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,954,New York,NY
FSM,medium_airport,Fort Smith Regional Airport,35.336601,-94.367401,469,Arkansas,AR
VPS,medium_airport,Destin-Fort Walton Beach Airport,30.4832,-86.525398,87,Florida,FL
BFL,medium_airport,Meadows Field,35.433601,-119.056999,510,California,CA
FPR,medium_airport,St Lucie County International Airport,27.49510002,-80.36830139,24,Florida,FL
MSC,small_airport,Falcon Field,33.4608001709,-111.727996826,1394,Arizona,AZ
SEE,small_airport,Gillespie Field,32.826198577881,-116.97200012207,388,California,CA
LSE,medium_airport,La Crosse Regional Airport,43.879002,-91.256699,655,Wisconsin,WI
IFP,medium_airport,Laughlin Bullhead International Airport,35.157398,-114.559998,701,Arizona,AZ
RHV,small_airport,Reid-Hillview Airport of Santa Clara County,37.332901001,-121.819000244,135,California,CA
HYA,medium_airport,Cape Cod Gateway Airport,41.6693,-70.280403,54,Massachusetts,MA
MFE,medium_airport,McAllen Miller International Airport,26.176141,-98.237965,107,Texas,TX
SJT,medium_airport,San Angelo Regional Mathis Field,31.35770034790039,-100.49600219726562,1919,Texas,TX
SMX,medium_airport,Santa Maria Public Airport Captain G Allan Hancock Field,34.898899,-120.457001,261,California,CA
ACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516,Texas,TX
OSU,medium_airport,The Ohio State University Airport - Don Scott Field,40.0798,-83.072998,905,Ohio,OH
HFD,medium_airport,Hartford Brainard Airport,41.736698150635,-72.649398803711,18,Connecticut,CT
MTH,medium_airport,The Florida Keys Marathon Airport,24.726101,-81.051399,5,Florida,FL
HIO,medium_airport,Portland Hillsboro Airport,45.540401,-122.949997,208,Oregon,OR
BDR,medium_airport,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9,Connecticut,CT
CYS,medium_airport,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,6159,Wyoming,WY
IDA,medium_airport,Idaho Falls Regional Airport,43.514599,-112.070999,4744,Idaho,ID
MLI,medium_airport,Quad City International Airport,41.448502,-90.5075,590,Illinois,IL
SCE,medium_airport,University Park Airport,40.849374,-77.84852,1239,Pennsylvania,PA
FRD,small_airport,Friday Harbor Airport,48.5219993591,-123.024002075,113,Washington,WA
RBD,small_airport,Dallas Executive Airport,32.6809005737,-96.8682022095,660,Texas,TX
HAF,small_airport,Half Moon Bay Airport,37.513401031499995,-122.500999451,66,California,CA
FCA,medium_airport,Glacier Park International Airport,48.31050109863281,-114.25599670410156,2977,Montana,MT
HVN,medium_airport,Tweed New Haven Airport,41.26369858,-72.88680267,12,Connecticut,CT
ABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,Texas,TX
HII,medium_airport,Lake Havasu City International Airport,34.571098,-114.358002,783,Arizona,AZ
CRG,medium_airport,Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,41,Florida,FL
OXR,medium_airport,Oxnard Airport,34.200801849365,-119.20700073242,45,California,CA
RBF,small_airport,Big Bear City Airport,34.263802,-116.856003,6752,California,CA
FDK,small_airport,Frederick Municipal Airport,39.417598724399994,-77.3742980957,303,Maryland,MD
FFA,small_airport,First Flight Airport,36.0181999207,-75.67130279540001,13,North Carolina,NC
TOA,small_airport,Zamperini Field,33.803398132324,-118.33999633789,103,California,CA
AHN,medium_airport,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808,Georgia,GA
RFD,medium_airport,Chicago Rockford International Airport,42.1954,-89.097198,742,Illinois,IL
GFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,845,North Dakota,ND
LNS,medium_airport,Lancaster Airport,40.121700286865234,-76.29609680175781,403,Pennsylvania,PA
MOD,medium_airport,Modesto City Co-Harry Sham Field,37.625801,-120.954002,97,California,CA
RDD,medium_airport,Redding Municipal Airport,40.50899887,-122.2929993,505,California,CA
BJC,medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,5673,Colorado,CO
OGD,medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,4473,Utah,UT
PGD,medium_airport,Charlotte County Airport,26.9202,-81.990501,25,Florida,FL
FTY,medium_airport,Fulton County Airport Brown Field,33.7790985107,-84.5214004517,841,Georgia,GA
TKF,medium_airport,Truckee Tahoe Airport,39.319999694799996,-120.13999939,5900,California,CA
COA,small_airport,Columbia Airport,38.030399322499996,-120.415000916,2118,California,CA
OCF,small_airport,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,90,Florida,FL
PWA,small_airport,Wiley Post Airport,35.53419876,-97.64710236,1300,Oklahoma,OK
CDC,medium_airport,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,5622,Utah,UT
IAG,medium_airport,Niagara Falls International Airport,43.1073,-78.946198,589,New York,NY
POU,medium_airport,Dutchess County Airport,41.6265983581543,-73.88420104980469,165,New York,NY
MMU,medium_airport,Morristown Municipal Airport,40.799400329589844,-74.41490173339844,187,New Jersey,NJ
PWK,medium_airport,Chicago Executive Airport,42.114222,-87.901494,647,Illinois,IL
FUL,small_airport,Fullerton Municipal Airport,33.8720016479,-117.980003357,96,California,CA
MNZ,small_airport,Manassas Regional Airport/Harry P. Davis Field,38.72140121,-77.51540375,192,Virginia,VA
RNT,small_airport,Renton Municipal Airport,47.4930992126,-122.216003418,32,Washington,WA
ERI,medium_airport,Erie International Tom Ridge Field,42.083127,-80.173867,732,Pennsylvania,PA
SUS,medium_airport,Spirit of St Louis Airport,38.662102,-90.652,463,Missouri,MO
DET,medium_airport,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,626,Michigan,MI
GLS,medium_airport,Scholes International At Galveston Airport,29.265300750732422,-94.86039733886719,6,Texas,TX
FMY,medium_airport,Page Field,26.58659935,-81.86329650879999,17,Florida,FL
